number,value,datetime_start,datetime_complete,duration,params_H_cycles,params_H_layers,params_L_cycles,params_L_layers,params_d_mem,params_hidden_size,params_m_loc,params_top_k,state
0,inf,2025-08-24 17:28:15.116331,2025-08-24 17:32:11.925831,0 days 00:03:56.809500,1,2,1,2,108,16,128,4,COMPLETE
1,,2025-08-24 17:35:14.384661,,,2,2,1,1,101,32,74,4,RUNNING
2,inf,2025-08-24 17:42:24.128558,2025-08-24 17:42:41.217067,0 days 00:00:17.088509,1,2,4,1,109,16,116,4,COMPLETE
3,inf,2025-08-24 17:44:11.273617,2025-08-24 17:44:22.003174,0 days 00:00:10.729557,1,1,2,2,114,16,114,3,COMPLETE
4,inf,2025-08-24 17:45:06.271499,2025-08-24 17:45:16.192985,0 days 00:00:09.921486,2,2,4,1,112,16,109,3,COMPLETE
5,inf,2025-08-24 17:45:54.086777,2025-08-24 17:46:03.537153,0 days 00:00:09.450376,1,2,3,2,109,32,109,3,COMPLETE
6,,2025-08-25 11:37:48.049817,,,2,2,2,1,103,32,94,2,RUNNING
7,,2025-08-25 11:44:53.620517,,,2,1,3,2,80,16,70,2,RUNNING
8,,2025-08-25 11:52:28.570235,,,1,1,3,1,66,32,112,3,RUNNING
9,,2025-08-25 11:59:32.393470,,,1,2,1,1,88,32,87,2,RUNNING
10,inf,2025-08-25 12:42:27.767424,2025-08-25 12:42:51.439868,0 days 00:00:23.672444,1,2,3,2,110,32,110,2,COMPLETE
