number,value,datetime_start,datetime_complete,duration,params_H_cycles,params_H_layers,params_L_cycles,params_L_layers,params_d_mem,params_hidden_size,params_m_loc,params_top_k,state
0,inf,2025-08-25 14:28:42.474501,2025-08-25 14:29:06.057868,0 days 00:00:23.583367,2,1,3,2,100,32,118,4,COMPLETE
1,inf,2025-08-25 14:29:06.093029,2025-08-25 14:29:16.330721,0 days 00:00:10.237692,2,1,1,2,97,16,128,4,COMPLETE
2,inf,2025-08-25 14:29:16.354099,2025-08-25 14:29:27.381223,0 days 00:00:11.027124,1,2,1,1,82,16,107,4,COMPLETE
3,inf,2025-08-25 14:29:27.405717,2025-08-25 14:29:40.058095,0 days 00:00:12.652378,1,2,3,1,83,16,122,2,COMPLETE
4,inf,2025-08-25 14:29:40.113666,2025-08-25 14:29:54.750485,0 days 00:00:14.636819,2,2,3,2,125,16,121,2,COMPLETE
5,inf,2025-08-25 14:29:54.776553,2025-08-25 14:30:04.920928,0 days 00:00:10.144375,1,2,3,1,125,32,71,4,COMPLETE
6,inf,2025-08-25 14:30:04.947387,2025-08-25 14:30:19.913760,0 days 00:00:14.966373,2,2,2,1,81,32,91,2,COMPLETE
7,inf,2025-08-25 14:30:20.116036,2025-08-25 14:30:33.068154,0 days 00:00:12.952118,1,1,3,1,115,32,113,3,COMPLETE
8,inf,2025-08-25 14:30:33.091863,2025-08-25 14:30:43.123669,0 days 00:00:10.031806,2,1,1,1,108,32,90,3,COMPLETE
9,inf,2025-08-25 14:30:43.146043,2025-08-25 14:30:52.945147,0 days 00:00:09.799104,1,2,1,2,98,16,64,3,COMPLETE
10,inf,2025-08-25 14:32:23.216913,2025-08-25 14:32:34.331423,0 days 00:00:11.114510,2,1,4,2,69,32,103,4,COMPLETE
11,inf,2025-08-25 14:32:34.359115,2025-08-25 14:32:44.435440,0 days 00:00:10.076325,2,1,2,2,98,16,128,4,COMPLETE
12,inf,2025-08-25 14:32:44.461139,2025-08-25 14:32:55.352625,0 days 00:00:10.891486,2,1,4,2,108,32,128,4,COMPLETE
13,inf,2025-08-25 14:32:55.376839,2025-08-25 14:33:05.832793,0 days 00:00:10.455954,2,1,2,2,90,16,115,4,COMPLETE
14,inf,2025-08-25 14:33:05.857092,2025-08-25 14:33:15.820384,0 days 00:00:09.963292,2,1,2,2,104,16,99,3,COMPLETE
